Budget Case,Date,Cutoff Timestamp,Cutoff Level,Exposure Factor,Observed DD At Cutoff,Raw Historical DD At Cutoff,Day Start Equity Raw,Equity At Cutoff Raw,Gross Exposure At Cutoff % Raw,Gross Exposure At Cutoff % Scaled,Dominant Losing Strategy,MR_EQ PnL To Cutoff,MR_EQ Gross At Cutoff % Scaled,MR_FX PnL To Cutoff,MR_FX Gross At Cutoff % Scaled,TF_EQ PnL To Cutoff,TF_EQ Gross At Cutoff % Scaled
old_anchor_1p125_0p875_8p000,2015-06-23,2015-06-23 14:00:00,-0.04,0.75,-0.04516740438213426,-0.060223205842845684,107191.93311562025,100736.4912629057,652.4168885612831,489.3126664209624,MR_FX,0.0,0.0,-4846.688655798178,399.39599070708914,5.107266262284611,89.91667571387313
old_anchor_1p125_0p875_8p000,2016-06-24,2016-06-24 06:00:00,-0.04,0.75,-0.04154045118211161,-0.05538726824281548,139170.94162549783,131462.64335008117,871.8568883403229,653.8926662552421,MR_FX,0.0,0.0,-5781.223706562494,622.8088919713314,0.0,31.083774283910834
old_anchor_1p125_0p875_8p000,2020-06-11,2020-06-11 18:00:00,-0.04,0.75,-0.04041401563116895,-0.05388535417489193,342599.5959411026,324138.49537364143,281.8483412821503,211.3862559616127,TF_EQ,0.0,0.0,-1639.576360451014,124.47463540298378,-13570.401291710652,86.91162055862893
old_anchor_1p125_0p875_8p000,2021-11-26,2021-11-26 16:00:00,-0.04,0.75,-0.0429323734015675,-0.05724316453542333,542415.4815775208,511365.90291901794,334.0627261389901,250.5470446042426,MR_FX,-2618.284912870975,22.718567272642893,-18668.590563503752,202.53615834896343,-2288.553825250303,25.29231898263631
old_anchor_1p125_0p875_8p000,2025-04-03,2025-04-03 11:00:00,-0.04,0.75,-0.04028356186014559,-0.05371141581352745,829120.3883460193,784587.1584080929,377.02038524652085,282.76528893489063,MR_FX,0.0,0.0,-33399.9224534448,282.76528893489063,0.0,0.0
slightly_more_tf_1p50_1p00_7p50,2013-06-20,2013-06-20 20:00:00,-0.04,0.75,-0.04587297583882069,-0.06116396778509425,62553.19289536398,58727.19142025715,260.04401652254415,195.03301239190813,TF_EQ,-1120.4736305238962,77.88435873539666,-46.3639425677884,0.0,-1643.9180025335609,117.14865365651146
slightly_more_tf_1p50_1p00_7p50,2015-06-23,2015-06-23 14:00:00,-0.04,0.75,-0.04235532005547782,-0.056473760073970425,113197.27609554205,106804.60028429542,656.892851933074,492.6696389498055,MR_FX,0.0,0.0,-4801.696390851156,373.28116319367996,7.189532416177826,119.3884757561255
slightly_more_tf_1p50_1p00_7p50,2016-01-04,2016-01-04 16:00:00,-0.04,0.75,-0.0442061394280186,-0.05894151923735813,139672.35449464014,131439.8537252672,154.6237848750961,115.96783865632207,TF_EQ,0.0,0.0,-870.2190097913517,0.0,-5304.1565672383695,115.96783865632207
slightly_more_tf_1p50_1p00_7p50,2020-06-11,2020-06-11 18:00:00,-0.04,0.75,-0.050591065021049375,-0.06745475336139917,416161.56425556104,388089.4885802081,309.9655827251891,232.47418704389185,TF_EQ,0.0,0.0,-1867.1479488435798,118.39623238272338,-21331.11400824003,114.07795466116843
slightly_more_tf_1p50_1p00_7p50,2020-09-03,2020-09-03 18:00:00,-0.04,0.75,-0.040192167894855385,-0.05358955719314051,515829.91830155905,488186.8213928047,141.82820703603812,106.37115527702859,TF_EQ,0.0,0.0,-277.6777332547863,0.0,-20261.337046926506,106.37115527702859
slightly_more_tf_1p50_1p00_7p50,2021-11-26,2021-11-26 16:00:00,-0.04,0.75,-0.04256842377075082,-0.05675789836100109,722390.5524461722,681389.182893485,331.38771144643687,248.54078358482764,MR_FX,-3984.3275184654267,25.945114936813667,-23302.431372686653,189.72264028710458,-3963.4708042928396,32.87302836090943
slightly_more_tf_1p50_1p00_7p50,2025-04-03,2025-04-03 12:00:00,-0.04,0.75,-0.04070356796734875,-0.054271423956465004,1072939.003186394,1014709.0756650382,354.0698795293701,265.55240964702756,MR_FX,0.0,0.0,-43672.44564101685,265.55240964702756,0.0,0.0
tf_accel_1p75_1p00_7p25,2013-06-20,2013-06-20 20:00:00,-0.04,0.75,-0.050425204224495423,-0.06723360563266056,62354.82982690626,58162.489789032385,288.1741718752176,216.13062890641322,TF_EQ,-1116.4072609850532,78.35514217137062,-44.63718466125829,0.0,-1914.78386165853,137.7754867350426
tf_accel_1p75_1p00_7p25,2015-06-23,2015-06-23 14:00:00,-0.04,0.75,-0.04094515353903769,-0.05459353805205025,116013.55222498445,109679.96194703624,665.6995521946561,499.2746641459921,MR_FX,0.0,0.0,-4758.787922110889,360.2826385983682,8.595213649737161,138.992025547624
tf_accel_1p75_1p00_7p25,2016-01-04,2016-01-04 09:00:00,-0.04,0.75,-0.04163211623873228,-0.05550948831830971,141363.74940858872,133516.7200121602,408.2487751256635,306.1865813442476,TF_EQ,0.0,0.0,-1665.572265657749,169.68805722466064,-4219.699781663641,136.498524119587
tf_accel_1p75_1p00_7p25,2018-12-04,2018-12-04 21:00:00,-0.04,0.75,-0.042716551546387344,-0.05695540206184979,293956.0930784977,277213.7056086813,176.27585640663693,132.2068923049777,TF_EQ,0.0,0.0,-948.5911465789904,0.0,-12356.242346162526,132.2068923049777
tf_accel_1p75_1p00_7p25,2020-06-11,2020-06-11 17:00:00,-0.04,0.75,-0.04053213444375589,-0.054042845925007854,464401.3604632785,439303.7892923975,324.7467815493119,243.56008616198392,TF_EQ,0.0,0.0,-2540.8299503302915,113.00446276550991,-19020.60995980486,130.55562339647403
tf_accel_1p75_1p00_7p25,2020-09-03,2020-09-03 18:00:00,-0.04,0.75,-0.04572949927675321,-0.060972665702337614,585356.3672408615,549665.6291443497,162.9596184685759,122.21971385143193,TF_EQ,0.0,0.0,-304.4057255569569,0.0,-26213.592286652492,122.21971385143193
tf_accel_1p75_1p00_7p25,2021-11-26,2021-11-26 16:00:00,-0.04,0.75,-0.042203060915029206,-0.05627074788670561,842056.6293110326,794673.4730167424,329.2816067835775,246.96120508768314,MR_FX,-4643.696047149322,25.92811068656061,-26254.11395487087,183.2835902137056,-5308.119386291073,37.749504187416946
tf_accel_1p75_1p00_7p25,2022-12-15,2022-12-15 18:00:00,-0.04,0.75,-0.04105931558194831,-0.05474575410926441,856251.2320182497,809375.1126144239,180.73985503302126,135.55489127476594,TF_EQ,0.0,0.0,-1146.1005085711222,0.0,-34019.09413576401,135.55489127476594
tf_accel_1p75_1p00_7p25,2025-04-03,2025-04-03 13:00:00,-0.04,0.75,-0.04742956482849331,-0.06323941977132441,1220989.4990375082,1143774.831571496,346.1350202444989,259.60126518337415,MR_FX,0.0,0.0,-57911.000599509,259.60126518337415,0.0,0.0
moderate_more_tf_2p00_1p00_7p00,2013-06-20,2013-06-20 20:00:00,-0.04,0.75,-0.05499170128476419,-0.07332226837968558,62128.64213507375,57573.229162380434,316.7618243529912,237.5713682647434,TF_EQ,-1111.8446385779012,78.83359959880534,-42.90396804520151,0.0,-2183.7698867151685,158.73776866593806
moderate_more_tf_2p00_1p00_7p00,2015-06-23,2015-06-23 18:00:00,-0.04,0.75,-0.04144815877368527,-0.05526421169824702,118750.02302001636,112187.39660866647,676.2451903334804,507.1838927501103,MR_FX,0.0,0.0,-4759.9328531369865,348.39650632648824,-162.036955375429,158.7873864236221
moderate_more_tf_2p00_1p00_7p00,2016-01-04,2016-01-04 09:00:00,-0.04,0.75,-0.045530693951724266,-0.060707591935632355,142876.71921240704,134203.0176453583,429.04600726214176,321.7845054466063,TF_EQ,0.0,0.0,-1625.2995247812541,164.7385647517871,-4879.976650505305,157.04594069481922
moderate_more_tf_2p00_1p00_7p00,2018-12-04,2018-12-04 21:00:00,-0.04,0.75,-0.04803728706670121,-0.06404971608893495,313155.2756068354,293097.7691124654,202.0548825106903,151.54116188301774,TF_EQ,0.0,0.0,-975.3374302325283,0.0,-14974.34648798003,151.54116188301774
moderate_more_tf_2p00_1p00_7p00,2020-03-27,2020-03-27 21:00:00,-0.04,0.75,-0.04029228947409255,-0.0537230526321234,454997.8025660027,430553.93167124887,140.00978488491847,105.00733866368886,TF_EQ,0.0,0.0,1697.4884355963586,0.0,-15369.051871836979,105.00733866368886
moderate_more_tf_2p00_1p00_7p00,2020-06-11,2020-06-11 17:00:00,-0.04,0.75,-0.04460906440564624,-0.05947875254086166,516390.0164019189,485675.7824017777,342.64907010433114,256.98680257824833,TF_EQ,0.0,0.0,-2728.1198056190588,109.74546130771807,-23722.181377869456,147.2413412705303
moderate_more_tf_2p00_1p00_7p00,2020-09-03,2020-09-03 17:00:00,-0.04,0.75,-0.04207175866129284,-0.05609567821505712,661707.987288123,624589.0289608754,182.40750152823682,136.80562614617762,TF_EQ,0.0,0.0,-332.040738646574,0.0,-27191.363397889698,136.80562614617762
moderate_more_tf_2p00_1p00_7p00,2021-11-26,2021-11-26 16:00:00,-0.04,0.75,-0.041816728628498584,-0.055755638171331445,977572.6371657054,923067.4509217001,326.9760213146939,245.23201598602043,MR_FX,-5390.298818934891,25.910465007579276,-29425.09721273058,176.84855243349554,-6937.2456642228935,42.47299854494564
moderate_more_tf_2p00_1p00_7p00,2022-12-15,2022-12-15 17:00:00,-0.04,0.75,-0.044110699338291315,-0.05881426578438842,964569.9049452042,907839.4341881346,208.27318616896488,156.20488962672366,TF_EQ,0.0,0.0,-1245.6337068891444,0.0,-41312.3086585484,156.20488962672366
moderate_more_tf_2p00_1p00_7p00,2025-04-03,2025-04-03 13:00:00,-0.04,0.75,-0.045796173463445666,-0.061061564617927555,1381492.498712989,1297136.4052336437,333.44223138108504,250.08167353581376,MR_FX,0.0,0.0,-63267.07010950903,250.08167353581376,0.0,0.0
moderate_more_tf_2p00_1p00_7p00,2025-10-10,2025-10-10 21:00:00,-0.04,0.75,-0.040483306265495456,-0.053977741687327274,1696053.2276463541,1604504.1046365015,205.05890276919106,153.7941770768933,TF_EQ,0.0,0.0,0.0,0.0,-65319.85610210485,153.7941770768933
balanced_accel_2p00_1p50_6p50,2013-06-20,2013-06-20 18:00:00,-0.04,0.75,-0.04267371855465854,-0.05689829140621139,62891.602113246314,59313.17740920332,366.0516297932768,274.5387223449576,TF_EQ,-1122.9849974273473,117.14377730881786,-40.26395780195071,0.0,-1441.4980769421672,157.39494503613975
balanced_accel_2p00_1p50_6p50,2016-01-04,2016-01-04 09:00:00,-0.04,0.75,-0.04471611846478754,-0.05962149128638339,151732.9925230886,142686.44523151638,412.8609227280985,309.64569204607386,TF_EQ,0.0,0.0,-1602.6557239981794,152.7858272637771,-5182.254744680979,156.85986478229677
balanced_accel_2p00_1p50_6p50,2018-02-05,2018-02-05 21:00:00,-0.04,0.75,-0.04921023016600773,-0.06561364022134364,298192.49434216187,278626.9993016902,102.16203592048902,76.62152694036676,MR_EQ,-8867.758487172245,76.62152694036676,9.369882463244721,0.0,-5815.732675644755,0.0
balanced_accel_2p00_1p50_6p50,2018-02-08,2018-02-08 21:00:00,-0.04,0.75,-0.042121657517288996,-0.056162210023051995,288076.64203741355,271897.6211645728,151.70608228959404,113.77956171719552,MR_EQ,-12980.627614691295,113.77956171719552,846.361960060709,0.0,0.0,0.0
balanced_accel_2p00_1p50_6p50,2018-12-04,2018-12-04 21:00:00,-0.04,0.75,-0.04782828330346575,-0.063771044404621,338963.73160891875,317347.66042893037,202.05508360941167,151.54131270705875,TF_EQ,0.0,0.0,-980.3255039495889,0.0,-16213.288038283667,151.54131270705875
balanced_accel_2p00_1p50_6p50,2019-08-05,2019-08-05 22:00:00,-0.04,0.75,-0.04062435318448562,-0.05416580424598083,397973.93956106436,376417.36105579796,155.0207879701573,116.26559097761798,MR_EQ,-16786.325868575783,116.26559097761798,-259.9288890306525,0.0,0.0,0.0
balanced_accel_2p00_1p50_6p50,2020-03-27,2020-03-27 21:00:00,-0.04,0.75,-0.04055910696519424,-0.054078809286925655,496481.0889011528,469631.9827799022,140.06244192780878,105.04683144585658,TF_EQ,0.0,0.0,1719.7828584141316,0.0,-16770.286725947524,105.04683144585658
balanced_accel_2p00_1p50_6p50,2020-06-11,2020-06-11 17:00:00,-0.04,0.75,-0.04418110769513453,-0.05890814359351271,564830.6774427393,531557.5507899213,331.70330459897133,248.7774784492285,TF_EQ,0.0,0.0,-2768.4500784942175,101.79949165641725,-25916.925595984067,146.97798679281124
balanced_accel_2p00_1p50_6p50,2020-09-03,2020-09-03 17:00:00,-0.04,0.75,-0.04211154220321406,-0.056148722937618745,722879.8180602426,682291.0394387818,182.7507101600471,137.06303262003533,TF_EQ,0.0,0.0,-336.7886271793832,0.0,-29759.131904199647,137.06303262003533
balanced_accel_2p00_1p50_6p50,2021-11-26,2021-11-26 16:00:00,-0.04,0.75,-0.042375278031111796,-0.05650037070814906,1183359.855236384,1116499.5847343868,327.2130886340444,245.40981647553332,MR_FX,-9787.575051943204,38.89666282538414,-33062.55591812266,164.26629283254394,-8346.294869446778,42.24686081760524
balanced_accel_2p00_1p50_6p50,2022-01-24,2022-01-24 18:00:00,-0.04,0.75,-0.04084237245918654,-0.05445649661224872,1009156.5270762652,954201.3980783079,156.0245108903338,117.01838316775036,MR_EQ,-33335.878307265615,117.01838316775036,0.0,0.0,0.0,0.0
balanced_accel_2p00_1p50_6p50,2022-12-15,2022-12-15 17:00:00,-0.04,0.75,-0.04402757536354948,-0.058703433818065975,1148316.634693774,1080906.5051268437,208.2931016344709,156.21982622585318,TF_EQ,0.0,0.0,-1376.976871721985,0.0,-49192.634135269866,156.21982622585318
balanced_accel_2p00_1p50_6p50,2024-08-02,2024-08-02 16:00:00,-0.04,0.75,-0.041467013073748976,-0.055289350764998635,1665929.9904586824,1573821.8028662815,348.1104172570563,261.08281294279226,MR_EQ,-30982.8535510145,77.64383053035249,-19080.91619272389,121.26108936627708,-23122.132643654215,62.17789304616266
balanced_accel_2p00_1p50_6p50,2025-04-03,2025-04-03 13:00:00,-0.04,0.75,-0.04252893840397526,-0.056705251205300344,1697922.8397121606,1601641.6985590656,308.22843067598893,231.1713230069917,MR_FX,0.0,0.0,-72210.85586482125,231.1713230069917,0.0,0.0
balanced_accel_2p00_1p50_6p50,2025-10-10,2025-10-10 21:00:00,-0.04,0.75,-0.040419824643655816,-0.05389309952487442,2103447.26163363,1990085.9690170842,204.71449330969023,153.53586998226768,TF_EQ,0.0,0.0,0.0,0.0,-80883.20471534829,153.53586998226768
aggressive_mrfx_dom_2p50_1p50_6p00,2012-11-07,2012-11-07 17:00:00,-0.04,0.75,-0.04488830127648938,-0.059851068368652505,48319.89670275141,45427.89926162881,258.8382071160904,194.1286553370678,TF_EQ,-12.705870739821535,0.0,52.37698153803649,0.0,-2208.6681351372754,194.1286553370678
aggressive_mrfx_dom_2p50_1p50_6p00,2013-06-20,2013-06-20 16:00:00,-0.04,0.75,-0.04457505059561562,-0.059433400794154156,62342.30877967048,58637.093355535406,536.3681063800675,402.2760797850506,TF_EQ,-953.4129026464168,117.62125465677867,-180.11997192682065,86.34965415329617,-1547.091954042813,198.3051709749758
aggressive_mrfx_dom_2p50_1p50_6p00,2016-01-04,2016-01-04 08:00:00,-0.04,0.75,-0.044219542790372435,-0.058959390387163246,154270.53844631664,145174.84154482238,450.4488255543838,337.83661916578785,TF_EQ,0.0,0.0,-1182.0949261825572,140.77587662273396,-5639.677749938118,197.06074254305386
aggressive_mrfx_dom_2p50_1p50_6p00,2018-02-05,2018-02-05 20:00:00,-0.04,0.75,-0.04114280217045399,-0.05485706956060532,338007.39314859227,319465.29807064106,188.23593289387674,141.17694967040757,TF_EQ,-5914.061282324516,76.92676014224571,9.803959952881996,0.0,-8002.313986091787,64.25018952816185
aggressive_mrfx_dom_2p50_1p50_6p00,2018-02-08,2018-02-08 21:00:00,-0.04,0.75,-0.042489954152301695,-0.05665327220306893,324474.4550880498,306091.9154610041,152.27362144405208,114.20521608303906,MR_EQ,-14666.83594610608,114.20521608303906,879.9312258217578,0.0,0.0,0.0
aggressive_mrfx_dom_2p50_1p50_6p00,2018-11-12,2018-11-12 21:00:00,-0.04,0.75,-0.04312246294227068,-0.057496617256360905,378340.8621645976,356587.5424202781,250.63690801435112,187.97768101076335,TF_EQ,0.0,0.0,-1077.0704860918886,0.0,-15326.091630957213,187.97768101076335
