Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score,Dropped Strategy,Drop Mode,Full Payout Overall,Delta Payout Overall vs Full,Full Mean Total Days To Payout,Delta Mean Total Days vs Full,Full Raw Sharpe,Delta Raw Sharpe vs Full
old_anchor_1p125_0p875_8p000,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.0,8.0,9.125,0.75,-0.04,542866.6235962247,0.18573450642955858,1.2840996232625037,1.0908152692309872,-17.027127476909943,-0.08407567873928698,6,134.00111318111948,924.3465247779401,0.9626,0.9663411593600665,0.9890346162115674,0.92,165.0,69.0,15.0,0.0,0.0766,0.0034,0.3364,334.5841304347826,293.0,203.0,428.0,579.0,0.9235756739130435,MR_EQ,drop_no_renorm,0.9278,-0.007799999999999918,281.7990946324639,52.7850358023187,1.433600596260109,-0.14950097299760534
old_anchor_1p125_0p875_8p000,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 8.767123287671232, ""TF_EQ"": 1.2328767123287672}",1.2328767123287672,0.0,8.767123287671232,10.0,0.75,-0.04,674186.5527755852,0.20422769743576663,1.2853377312689005,1.1015151028991286,-18.540617091699453,-0.0921251079986796,9,146.69467015037196,1014.2747580930951,0.9216,0.9481336805555556,0.9821469443808651,0.8582,141.0,62.0,15.0,0.0434,0.0976,0.0008,0.3654,297.7259380097879,260.0,179.0,379.5,520.0,0.7840311549755301,MR_EQ,drop_renorm_to_total,0.9278,-0.0696,281.7990946324639,15.926843377324019,1.433600596260109,-0.14826286499120855
old_anchor_1p125_0p875_8p000,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 0.875, ""TF_EQ"": 1.125}",1.125,0.875,0.0,2.0,0.75,-0.04,246780.56989373578,0.1208027739952291,0.9577113358344886,0.7581889859787025,-15.93306896159824,-0.061845901992960514,1,73.18529117905142,205.20051438073267,0.948,0.9428270042194092,0.9809800850302081,0.8768,236.0,105.0,29.0,0.0,0.0938,0.0294,0.1146,474.132299270073,432.0,304.75,605.0,783.7000000000003,0.4733232518248176,MR_FX,drop_no_renorm,0.9278,-0.050999999999999934,281.7990946324639,192.33320463760913,1.433600596260109,-0.4758892604256204
old_anchor_1p125_0p875_8p000,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 4.375, ""TF_EQ"": 5.625}",5.625,4.375,0.0,10.0,0.75,-0.04,34685079.22214794,0.5957349302877972,1.0114704264756134,0.9066337741687156,-65.70844229071669,-0.24410760466404277,404,343.7676374990244,1310.4353491695736,0.3794,0.3916710595677385,0.5518169582772544,0.082,37.0,31.0,21.0,0.7156,0.2024,0.0,2.1526,99.6780487804878,97.0,78.25,116.0,133.0,-1.7403211219512194,MR_FX,drop_renorm_to_total,0.9278,-0.8458,281.7990946324639,-182.12104585197608,1.433600596260109,-0.4221301697844957
old_anchor_1p125_0p875_8p000,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0}",0.0,0.875,8.0,8.875,0.75,-0.04,337266.5498528786,0.14609418638283223,1.3298682354439397,1.0048770332452859,-14.538513823031252,-0.08407567873928691,5,84.74874997651004,899.6418006778179,0.9832,0.9755899104963385,0.9956213511259383,0.955,232.0,103.0,15.0,0.0,0.0302,0.0148,0.3428,440.51204188481677,401.0,287.0,556.0,728.6000000000004,0.775091895287958,TF_EQ,drop_no_renorm,0.9278,0.027200000000000002,281.7990946324639,158.71294725235288,1.433600596260109,-0.10373236081616932
old_anchor_1p125_0p875_8p000,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 0.9859154929577464, ""MR_FX"": 9.014084507042254}",0.0,0.9859154929577464,9.014084507042254,10.0,0.75,-0.04,426313.4300702899,0.1654383040123515,1.330371504021402,1.0163797154450065,-16.27721426336385,-0.09471600353846453,5,95.51455626220198,1015.5792917548436,0.905,0.9480662983425414,0.9864801864801864,0.8464,195.0,86.0,15.0,0.1032,0.0462,0.0042,0.478,381.8960302457467,341.0,244.0,479.0,645.9000000000001,0.48067992438563323,TF_EQ,drop_renorm_to_total,0.9278,-0.08139999999999992,281.7990946324639,100.09693561328282,1.433600596260109,-0.10322909223870713
slightly_more_tf_1p50_1p00_7p50,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 7.5, ""TF_EQ"": 1.5}",1.5,0.0,7.5,9.0,0.75,-0.04,686369.5330321622,0.20576932539338655,1.209179695074574,1.1122649305436214,-18.500028162608384,-0.0925918939955586,7,149.21392920939581,915.9396342412697,0.9176,0.9306887532693985,0.9651053864168618,0.8242,134.0,56.5,15.0,0.0564,0.1186,0.0008,0.345,284.2625576316428,248.0,168.0,363.0,497.0,0.7028936059208931,MR_EQ,drop_no_renorm,0.8368,-0.012599999999999945,238.66778202676863,45.594775604874144,1.3602292297924823,-0.15104953471790838
slightly_more_tf_1p50_1p00_7p50,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 8.333333333333334, ""TF_EQ"": 1.6666666666666665}",1.6666666666666665,0.0,8.333333333333334,10.0,0.75,-0.04,900366.574260833,0.22937314949095522,1.2112810948173354,1.1259609867245284,-20.37132300278113,-0.10195358338519203,13,165.4792869505573,1019.7697769979076,0.8984,0.9125111308993766,0.9565747743352037,0.7842,116.0,48.0,15.0,0.0614,0.154,0.0004,0.4888,249.60265238459576,216.0,147.0,319.0,437.0,0.6627053690385105,MR_EQ,drop_renorm_to_total,0.8368,-0.05259999999999998,238.66778202676863,10.934870357827123,1.3602292297924823,-0.14894813497514692
slightly_more_tf_1p50_1p00_7p50,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 1.0, ""TF_EQ"": 1.5}",1.5,1.0,0.0,2.5,0.75,-0.04,365957.5847959787,0.15279805368189603,0.9464037965787256,0.7234058968854997,-21.122035960688446,-0.0801766650687915,5,94.71307584276339,260.1285682377853,0.9126,0.9250493096646942,0.9670694148306088,0.8164,171.0,80.0,29.0,0.0046,0.1742,0.0048,0.2678,371.9137677609015,329.0,227.0,475.0,628.9000000000001,0.5169375805977462,MR_FX,drop_no_renorm,0.8368,-0.020399999999999974,238.66778202676863,133.2459857341329,1.3602292297924823,-0.41382543321375664
slightly_more_tf_1p50_1p00_7p50,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 4.0, ""TF_EQ"": 6.0}",6.0,4.0,0.0,10.0,0.75,-0.04,33325729.832560506,0.5911840421997729,0.9956829306922398,0.8606425415145569,-68.69100859915763,-0.24478730218088313,414,355.59451487679814,1314.75552887999,0.3568,0.367152466367713,0.5312977099236641,0.0696,38.0,31.0,21.0,0.7274,0.203,0.0,2.193,100.33908045977012,96.0,79.0,116.0,133.0,-1.7913777011494254,MR_FX,drop_renorm_to_total,0.8368,-0.7672,238.66778202676863,-138.32870156699852,1.3602292297924823,-0.3645462991002425
