Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score
anchor_grid_tf1p125_mreq1p25_mrfx7p625,full,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,0.75,-0.04,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.959,0.9668404588112617,0.9879206212251941,0.916,126.0,56.0,15.0,0.0,0.0838,0.0002,0.333,261.07183406113535,231.0,163.0,328.0,439.10000000000036,1.0921904148471615
anchor_grid_tf1p125_mreq1_mrfx7p875,full,"{""MR_EQ"": 1.0, ""MR_FX"": 7.875, ""TF_EQ"": 1.125}",1.125,1.0,7.875,10.0,0.75,-0.04,1002427.6605703924,0.23883944880665742,1.4354813119670364,1.32661480086657,-18.003677378741965,-0.08276384370103952,7,146.3575838656643,963.9936507660929,0.9634,0.9703134731160473,0.9886606760804451,0.9242,133.0,59.0,15.0,0.0,0.0758,0.0,0.3432,276.2252759143043,243.0,171.0,348.0,473.0,1.0786048102142392
anchor_grid_tf1p125_mreq1p125_mrfx7p75,full,"{""MR_EQ"": 1.125, ""MR_FX"": 7.75, ""TF_EQ"": 1.125}",1.125,1.125,7.75,10.0,0.75,-0.04,1061571.5971695255,0.24392301633582014,1.4338879074736794,1.3560101996281995,-17.988287728418317,-0.08145195001383808,7,146.9191768373576,959.6912383645184,0.9606,0.9679367062252758,0.9879543987954399,0.9186,131.0,57.0,15.0,0.0,0.0814,0.0,0.4052,269.26235575876336,239.0,167.0,341.0,456.0,1.0785921106030918
old_anchor_1p125_0p875_8p000,full,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,0.75,-0.04,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.9654,0.9724466542365858,0.9882829143587558,0.9278,136.0,60.0,15.0,0.0,0.072,0.0002,0.3516,281.7990946324639,249.0,174.0,355.0,486.0,1.07558626341884
anchor_grid_tf1p125_mreq1p5_mrfx7p375,full,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,0.75,-0.04,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.9246,0.9550075708414449,0.982559456398641,0.8676,119.0,53.0,15.0,0.0178,0.1146,0.0,0.5498,245.85269709543567,218.0,154.25,305.0,414.0,0.9648702572614108
anchor_grid_tf1p75_mreq0p875_mrfx7p375,full,"{""MR_EQ"": 0.875, ""MR_FX"": 7.375, ""TF_EQ"": 1.75}",1.75,0.875,7.375,10.0,0.75,-0.04,1433218.3570036818,0.2708844392815477,1.303957511730984,1.2928806761914327,-20.952006188190463,-0.10414733929737638,17,172.88080390776608,964.5078895335809,0.9204,0.9365493263798349,0.9723897911832947,0.8382,102.0,44.0,15.0,0.012,0.1498,0.0,0.5072,222.3915533285612,195.0,132.0,280.0,389.0,0.941549116678597
anchor_grid_tf1p5_mreq0p875_mrfx7p625,full,"{""MR_EQ"": 0.875, ""MR_FX"": 7.625, ""TF_EQ"": 1.5}",1.5,0.875,7.625,10.0,0.75,-0.04,1219600.0365703022,0.25631571312041923,1.3556532671498267,1.3097203046833474,-19.570263376377063,-0.09280904551492289,9,162.13828266210987,966.3312740938899,0.9302,0.9359277574715115,0.9662301860785665,0.8412,115.0,49.0,15.0,0.049,0.1098,0.0,0.4224,243.7681883024251,213.0,146.0,306.0,419.5,0.8609555292439373
slightly_more_tf_1p50_1p00_7p50,full,"{""MR_EQ"": 1.0, ""MR_FX"": 7.5, ""TF_EQ"": 1.5}",1.5,1.0,7.5,10.0,0.75,-0.04,1291752.1312681881,0.261484587352242,1.3602292297924823,1.3342776750157752,-19.597464024806566,-0.09259189399555857,9,162.69711987089403,962.0141884527872,0.929,0.9324004305705059,0.9660586469637497,0.8368,113.0,48.0,15.0,0.0488,0.1144,0.0,0.415,238.66778202676863,209.0,144.0,300.0,409.0,0.8607805449330783
tf_accel_1p75_1p00_7p25,full,"{""MR_EQ"": 1.0, ""MR_FX"": 7.25, ""TF_EQ"": 1.75}",1.75,1.0,7.25,10.0,0.75,-0.04,1517800.441800059,0.2761007761025598,1.309753900500452,1.3161237270093746,-20.978329805659158,-0.10392725578754523,19,173.4397927353002,960.1819109868555,0.9032,0.9278122232063774,0.9670644391408114,0.8104,99.0,43.0,15.0,0.04,0.1496,0.0,0.4834,216.82650542941758,190.0,129.0,271.0,380.0,0.8442997364264561
anchor_grid_tf1p5_mreq1p125_mrfx7p375,full,"{""MR_EQ"": 1.125, ""MR_FX"": 7.375, ""TF_EQ"": 1.5}",1.5,1.125,7.375,10.0,0.75,-0.04,1367682.5069502073,0.2666422980096641,1.362207171660733,1.3585475466743997,-19.627012588729787,-0.09237480220653818,11,163.25889030575874,957.6977309564965,0.9154,0.932707013327507,0.9639259779807917,0.823,111.0,48.0,15.0,0.0594,0.1176,0.0,0.403,233.64641555285542,205.0,141.5,293.0,400.0,0.8214539611178612
