Budget Case,Date,Cutoff Timestamp,Cutoff Level,Exposure Factor,Observed DD At Cutoff,Raw Historical DD At Cutoff,Day Start Equity Raw,Equity At Cutoff Raw,Gross Exposure At Cutoff % Raw,Gross Exposure At Cutoff % Scaled,Dominant Losing Strategy,MR_EQ PnL To Cutoff,MR_EQ Gross At Cutoff % Scaled,MR_FX PnL To Cutoff,MR_FX Gross At Cutoff % Scaled,TF_EQ PnL To Cutoff,TF_EQ Gross At Cutoff % Scaled
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2013-06-20,2013-06-20 20:00:00,-0.035,0.65,-0.04176766854649425,-0.06425795160999115,62158.955438639015,58164.748287935356,274.20431414200283,178.23280419230184,TF_EQ,-843.9498986274108,59.23039817441115,-39.24470716655588,0.0,-1653.9366510247469,119.00240601789073
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2015-06-23,2015-06-23 14:00:00,-0.035,0.65,-0.03609239590421317,-0.055526762929558715,114273.45792835968,107928.22272083076,674.5401973113729,438.45112825239244,MR_FX,0.0,0.0,-4131.740425532028,317.87093020808936,7.337540638229621,120.58019804430299
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2016-01-04,2016-01-04 09:00:00,-0.035,0.65,-0.03625764301673178,-0.05578098925651043,139214.73553296734,131449.19986585496,412.2728999046086,267.9773849379956,TF_EQ,0.0,0.0,-1446.0839389046394,149.64377583654527,-3601.5142447184166,118.33360910145032
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2018-12-04,2018-12-04 21:00:00,-0.035,0.65,-0.03706665649093551,-0.05702562537067002,288060.5657944121,271633.7318853567,176.2757803987143,114.5792572591643,TF_EQ,0.0,0.0,-819.5111382208976,0.0,-10493.184901674807,114.5792572591643
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2020-06-11,2020-06-11 17:00:00,-0.035,0.65,-0.035219809196728784,-0.05418432184112121,453874.3190359804,429281.4468579151,327.4632287614794,212.85109869496162,TF_EQ,0.0,0.0,-2189.7241007345324,99.65173371292137,-16115.708158881333,113.19936498204028
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2020-09-03,2020-09-03 18:00:00,-0.035,0.65,-0.039621797320042174,-0.060956611261603344,572270.1667185347,537386.51662926,162.88106774027239,105.87269403117705,TF_EQ,0.0,0.0,-262.37462335994644,0.0,-22200.23009557442,105.87269403117705
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2021-11-26,2021-11-26 16:00:00,-0.035,0.65,-0.036454501593229965,-0.05608384860496918,802182.2245614579,757192.7581255557,329.2172288875476,213.99119877690595,MR_FX,-3354.70965250217,19.65822445325197,-22051.922454266027,161.57216896156496,-4389.365394692385,32.760805362088995
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2022-12-15,2022-12-15 18:00:00,-0.035,0.65,-0.035602912402483984,-0.054773711388436896,819041.9524350787,774179.9849173778,180.73557584675893,117.4781243003933,TF_EQ,0.0,0.0,-966.5080589746678,0.0,-28200.489629240165,117.4781243003933
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2025-04-03,2025-04-03 13:00:00,-0.035,0.65,-0.04181337677386578,-0.06432827195979351,1158460.4818975313,1083938.7209633535,352.5030581603567,229.12698780423187,MR_FX,0.0,0.0,-48439.1446072156,229.12698780423187,0.0,0.0
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2013-06-20,2013-06-20 20:00:00,-0.04,0.65,-0.04176766854649425,-0.06425795160999115,62158.955438639015,58164.748287935356,274.20431414200283,178.23280419230184,TF_EQ,-843.9498986274108,59.23039817441115,-39.24470716655588,0.0,-1653.9366510247469,119.00240601789073
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2016-01-04,2016-01-04 16:00:00,-0.04,0.65,-0.043754306222776755,-0.06731431726581039,139214.73553296734,129843.5906572253,182.22875184251285,118.44868869763336,TF_EQ,0.0,0.0,-739.178079675086,0.0,-5352.066089557239,118.44868869763336
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2020-06-11,2020-06-11 18:00:00,-0.04,0.65,-0.04956712407778915,-0.07625711396582946,453874.3190359804,419263.1733630904,332.4974681265793,216.12335428227655,TF_EQ,0.0,0.0,-1736.086142885661,101.88046663314243,-23081.223888366294,114.24288764913409
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2020-09-03,2020-09-03 19:00:00,-0.04,0.65,-0.04003397204074779,-0.06159072621653505,572270.1667185347,537023.6315582825,162.9235586091823,105.9003130959685,TF_EQ,0.0,0.0,-262.37462335994644,0.0,-22436.105391709832,105.9003130959685
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2025-04-03,2025-04-03 13:00:00,-0.04,0.65,-0.04181337677386578,-0.06432827195979351,1158460.4818975313,1083938.7209633535,352.5030581603567,229.12698780423187,MR_FX,0.0,0.0,-48439.1446072156,229.12698780423187,0.0,0.0
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2020-06-11,2020-06-11 18:00:00,-0.045,0.65,-0.04956712407778915,-0.07625711396582946,453874.3190359804,419263.1733630904,332.4974681265793,216.12335428227655,TF_EQ,0.0,0.0,-1736.086142885661,101.88046663314243,-23081.223888366294,114.24288764913409
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2025-04-03,2025-04-03 15:00:00,-0.045,0.65,-0.0453270290771385,-0.06973389088790538,1158460.4818975313,1077676.5250549386,354.4428760447812,230.38786942910778,MR_FX,0.0,0.0,-52509.57194768521,230.38786942910778,0.0,0.0
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2013-06-20,2013-06-20 20:00:00,-0.035,0.7,-0.044980566126993804,-0.06425795160999115,62158.955438639015,58164.748287935356,274.20431414200283,191.94301989940197,TF_EQ,-908.86912159875,63.78658264936585,-42.26353079475248,0.0,-1781.1625472574196,128.15643725003616
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2015-06-23,2015-06-23 14:00:00,-0.035,0.7,-0.0388687340506911,-0.055526762929558715,114273.45792835968,107928.22272083076,674.5401973113729,472.178138117961,MR_FX,0.0,0.0,-4449.566612111414,342.3225402240962,7.90196684117036,129.85559789386474
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2016-01-04,2016-01-04 09:00:00,-0.035,0.7,-0.0390466924795573,-0.05578098925651043,139214.73553296734,131449.19986585496,412.2728999046086,288.591029933226,TF_EQ,0.0,0.0,-1557.3211649742268,161.15483551627952,-3878.5538020044482,127.43619441694648
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2016-06-24,2016-06-24 06:00:00,-0.035,0.7,-0.03577042187288325,-0.0511006026755475,147576.49922602164,140035.25117482446,826.99039225717,578.893274580019,MR_FX,0.0,0.0,-5278.873635838041,533.9974256830172,0.0,44.8958488970017
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2018-12-04,2018-12-04 21:00:00,-0.035,0.7,-0.03991793775946901,-0.05702562537067002,288060.5657944121,271633.7318853567,176.2757803987143,123.39304627909999,TF_EQ,0.0,0.0,-882.5504565455819,0.0,-11300.352971034406,123.39304627909999
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2020-06-11,2020-06-11 17:00:00,-0.035,0.7,-0.03792902528878484,-0.05418432184112121,453874.3190359804,429281.4468579151,327.4632287614794,229.22426013303556,TF_EQ,0.0,0.0,-2358.16441617565,107.31725169083839,-17355.37801725682,121.90700844219721
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2020-09-03,2020-09-03 17:00:00,-0.035,0.7,-0.03519823971165687,-0.05028319958808125,572270.1667185347,543494.591707122,162.17437757519215,113.5220643026345,TF_EQ,0.0,0.0,-282.55728669532687,0.0,-19632.28754842293,113.5220643026345
aggressive_balanced_80_tf1p75_mreq0p875_mrfx7p375,2021-11-26,2021-11-26 16:00:00,-0.035,0.7,-0.039258694023478424,-0.05608384860496918,802182.2245614579,757192.7581255557,329.2172288875476,230.45206022128332,MR_FX,-3612.7642411561824,21.170395565040582,-23748.224181517257,174.00079734322378,-4727.008886591799,35.280867313018916
