Budget Case,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,Exposure Factor,Daily Cutoff,Grid N Iter,Grid Block Len,Grid Horizon Days,Grid Seed,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Candidate Speed Rank Score
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.75,-0.04,5000,20,1095,42,0.959,0.9668404588112617,0.9879206212251941,0.916,126.0,56.0,15.0,0.0,0.0838,0.0002,0.333,261.07183406113535,231.0,163.0,328.0,439.10000000000036,1.0921904148471615
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.75,-0.035,5000,20,1095,42,0.9596,0.9674864526886202,0.9872899612236106,0.9166,128.0,56.0,15.0,0.0,0.0832,0.0002,0.5274,264.6039711979053,235.0,165.0,334.0,447.0,1.0832160720052368
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.7,-0.04,5000,20,1095,42,0.973,0.9778006166495375,0.992011772125289,0.9438,146.0,65.0,15.0,0.0,0.0552,0.001,0.3028,299.9561347743166,264.0,187.0,378.0,514.0,1.0794816630642086
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.75,-0.04,5000,20,1095,42,0.9654,0.9724466542365858,0.9882829143587558,0.9278,136.0,60.0,15.0,0.0,0.072,0.0002,0.3516,281.7990946324639,249.0,174.0,355.0,486.0,1.07558626341884
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.7,-0.035,5000,20,1095,42,0.9662,0.9730904574622231,0.9874494788342906,0.9284,140.0,62.0,15.0,0.0,0.0712,0.0004,0.4312,284.4353726841878,251.0,179.25,358.0,481.0,1.0701995682895304
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.7,-0.04,5000,20,1095,42,0.9634,0.9707286692962425,0.9888793840889649,0.9248,137.0,61.0,15.0,0.0008,0.0742,0.0002,0.3588,280.64057093425606,248.0,178.0,352.25,470.6999999999998,1.0686105726643598
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.75,-0.035,5000,20,1095,42,0.9646,0.9724238026124818,0.9893390191897654,0.928,137.0,60.0,15.0,0.0,0.0718,0.0002,0.647,284.01465517241377,250.0,175.0,357.0,488.0,1.0676933620689655
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.7,-0.035,5000,20,1095,42,0.9728,0.9780016447368421,0.9907504729871768,0.9426,148.0,65.0,15.0,0.0,0.0568,0.0006,0.378,304.1676214725228,267.0,189.0,384.0,520.8000000000002,1.0642009463186932
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.65,-0.035,5000,20,1095,42,0.9732,0.9753390875462392,0.9911504424778761,0.9408,151.0,67.0,15.0,0.0,0.0584,0.0008,0.3934,304.0459183673469,267.0,194.0,383.0,511.0,1.0591512040816324
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.7,-0.045,5000,20,1095,42,0.9604,0.970637234485631,0.9892726882643209,0.9222,137.0,61.0,15.0,0.0034,0.0742,0.0002,0.1358,281.29798308392975,249.0,178.0,353.0,472.0,1.0587970422901758
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.7,-0.04,5000,20,1095,42,0.9576,0.9630325814536341,0.9867707655606159,0.91,131.0,58.0,15.0,0.0,0.09,0.0,0.3464,268.6389010989011,238.0,170.0,335.0,451.0,1.0549387472527472
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.65,-0.04,5000,20,1095,42,0.9722,0.9742851265171776,0.9917652027027027,0.9394,151.0,68.0,15.0,0.0,0.0598,0.0008,0.2318,305.42814562486694,269.0,195.0,383.0,515.0,1.0531116359378325
conservative_90_tf1p125_mreq1p25_mrfx7p625,"{""MR_EQ"": 1.25, ""MR_FX"": 7.625, ""TF_EQ"": 1.125}",1.125,1.25,7.625,10.0,1123802.1319941573,0.248995459062469,1.4292312941317407,1.3756421269946857,-18.100307789093385,-0.08013999767768255,9,147.4837235420918,955.3894426054612,0.8,-0.04,5000,20,1095,42,0.945,0.9602116402116402,0.9801631033722724,0.8894,118.0,52.0,15.0,0.0056,0.105,0.0,0.3694,244.52619743647404,216.0,151.0,305.0,412.4000000000001,1.0475905064088147
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.7,-0.045,5000,20,1095,42,0.9554,0.9619007745446934,0.9865070729053319,0.9066,131.0,58.0,15.0,0.0016,0.0918,0.0,0.1302,268.5422457533642,238.0,170.0,335.0,451.0,1.045542385616589
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.65,-0.045,5000,20,1095,42,0.9778,0.9801595418285948,0.9926961602671118,0.9514,163.0,70.5,15.0,0.0,0.047,0.0016,0.0842,324.02438511667015,286.0,204.0,405.0,551.0,1.0448970372083248
old_anchor_benchmark_tf1p125_mreq0p875_mrfx8p00,"{""MR_EQ"": 0.875, ""MR_FX"": 8.0, ""TF_EQ"": 1.125}",1.125,0.875,8.0,10.0,946239.2363078826,0.23374503047207473,1.433600596260109,1.297036559645833,-18.021468148584862,-0.08407567873928697,6,145.79889974710798,968.2966801338725,0.65,-0.04,5000,20,1095,42,0.978,0.9797546012269939,0.9929033604675433,0.9514,163.0,70.0,15.0,0.0,0.047,0.0016,0.2448,324.41391633382386,287.0,205.0,406.0,551.0,1.0423172091654405
balanced_85_tf1p125_mreq1p50_mrfx7p375,"{""MR_EQ"": 1.5, ""MR_FX"": 7.375, ""TF_EQ"": 1.125}",1.125,1.5,7.375,10.0,1258069.0952980234,0.25910586720528084,1.412411835486982,1.3342449488262853,-19.419662591431376,-0.07751591705850912,13,148.62186221599273,946.787699721225,0.65,-0.04,5000,20,1095,42,0.9656,0.9672742336371168,0.9890792291220557,0.9238,144.0,65.0,15.0,0.0,0.0756,0.0006,0.2198,291.6841307642347,258.0,188.0,365.0,486.0,1.0405916730894131
