ERC Method,ERC Lookback,MR_FX Regime,Daily Cutoff,Exposure Factor,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Rank Score
rolling_erc_504,504.0,on,-0.045,0.5,0.9918,0.9901189755999193,0.9973523421588595,0.9794,218.0,101.0,15.0,0.0,0.0138,0.0068,0.0,1.438063795119984
fixed_current_weights,,on,-0.045,0.5,0.992,0.9887096774193549,0.9977569331158238,0.9786,216.0,99.0,15.0,0.0,0.0152,0.0062,0.0,1.436341935483871
rolling_erc_252,252.0,on,-0.045,0.5,0.9922,0.9883088087079218,0.9967366918213338,0.9774,220.0,101.0,15.0,0.0,0.0146,0.008,0.0,1.4354217617415843
rolling_erc_504,504.0,on,-0.035,0.5,0.9916,0.9891085114965712,0.9973491027732463,0.9782,218.0,101.0,15.0,0.0,0.0144,0.0074,0.1132,1.4351697022993142
rolling_erc_756,756.0,on,-0.045,0.5,0.9912,0.9891041162227603,0.996532027743778,0.977,218.0,100.0,15.0,0.0,0.0168,0.0062,0.0,1.433780823244552
fixed_current_weights,,on,-0.035,0.5,0.9918,0.9887074006856221,0.9973485621048338,0.978,216.0,100.0,15.0,0.0,0.0156,0.0064,0.2128,1.4333534801371244
rolling_erc_504,504.0,on,-0.03,0.5,0.9918,0.989312361363178,0.9965348552792499,0.9778,218.0,101.0,15.0,0.0,0.0146,0.0076,0.3252,1.4326504722726354
rolling_erc_252,252.0,on,-0.035,0.5,0.9918,0.9876991328896955,0.9965291955900367,0.9762,220.0,101.0,15.0,0.0,0.0154,0.0084,0.1138,1.4324418265779388
fixed_current_weights,,on,-0.03,0.5,0.9918,0.9885057471264368,0.9977560179518564,0.9782,216.0,100.0,15.0,0.0,0.0158,0.006,0.4332,1.4312091494252872
rolling_erc_504,504.0,on,-0.04,0.5,0.9906,0.987886129618413,0.9967300224810954,0.9754,218.0,100.0,15.0,0.0,0.0164,0.0082,0.1132,1.4308252259236827
rolling_erc_252,252.0,on,-0.03,0.5,0.9922,0.9875025196532957,0.9965299040620534,0.9764,220.0,101.0,15.0,0.0,0.0154,0.0082,0.3264,1.4305965039306592
fixed_current_weights,,on,-0.04,0.5,0.991,0.9870837537840566,0.9973420568390922,0.9756,216.0,99.0,15.0,0.0,0.0178,0.0066,0.1112,1.4303047507568114
rolling_erc_756,756.0,on,-0.035,0.5,0.9906,0.98768423177872,0.9961161079313164,0.9746,218.0,100.0,15.0,0.0,0.0178,0.0076,0.1146,1.4292708463557442
rolling_erc_504,504.0,off,-0.045,0.5,0.9894,0.9872650090964221,0.9961097461097461,0.973,218.0,100.0,15.0,0.0,0.018,0.009,0.0,1.4282730018192844
fixed_current_weights,,off,-0.045,0.5,0.9898,0.9880783996767024,0.9955010224948875,0.9736,215.0,100.0,15.0,0.0,0.0202,0.0062,0.0,1.4280556799353405
