Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score,Dropped Strategy,Drop Mode,Full Payout Overall,Delta Payout Overall vs Full,Full Mean Total Days To Payout,Delta Mean Total Days vs Full,Full Raw Sharpe,Delta Raw Sharpe vs Full
equal_clusters,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 3.333333333333333, ""TF_EQ"": 3.333333333333333}",3.333333333333333,0.0,3.333333333333333,6.666666666666666,0.75,-0.04,1329996.3476083453,0.2641165795223859,0.8851988477403371,0.6420561825441908,-41.13605424307358,-0.16249333733579985,93,204.4252948485032,693.8067298416856,0.709,0.8076163610719324,0.8508557457212714,0.4872,58.0,21.0,15.0,0.2012,0.3116,0.0,1.3462,134.44704433497537,117.0,79.75,170.25,234.0,-0.08917961083743844,MR_EQ,drop_no_renorm,0.4436,0.04360000000000003,95.79260595130748,38.654438383667895,1.1119742519624483,-0.22677540422211118
equal_clusters,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 5.0, ""TF_EQ"": 5.0}",5.0,0.0,5.0,10.0,0.75,-0.04,4628258.627989546,0.3818925629725958,0.8964355893183306,0.6880926889762056,-55.500162854629856,-0.2210974045597422,218,299.3185001047392,1073.0206051041482,0.5764,0.7133934767522554,0.7271400778210116,0.299,31.0,12.0,15.0,0.4262,0.2748,0.0,1.8958,80.18795986622074,71.0,51.0,100.0,135.20000000000027,-0.748627899665552,MR_EQ,drop_renorm_to_total,0.4436,-0.1446,95.79260595130748,-15.604646085086742,1.1119742519624483,-0.2155386626441177
equal_clusters,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 3.333333333333333, ""TF_EQ"": 3.333333333333333}",3.333333333333333,3.333333333333333,0.0,6.666666666666666,0.75,-0.04,5601859.526962658,0.4008683708073548,1.0106322389438602,0.9232279875974974,-43.42030096493594,-0.1612990181895047,165,220.04021103109275,780.9762097163282,0.612,0.6787581699346406,0.7968223399133365,0.331,51.0,40.0,23.0,0.387,0.282,0.0,1.8468,134.47311178247733,123.0,99.0,159.0,201.60000000000014,-0.7486507794561933,MR_FX,drop_no_renorm,0.4436,-0.11259999999999998,95.79260595130748,38.68050583116985,1.1119742519624483,-0.10134201301858803
equal_clusters,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 5.0, ""TF_EQ"": 5.0}",5.0,5.0,0.0,10.0,0.75,-0.04,35970664.54800709,0.5998889754662466,1.0309178242489123,0.9938481154792805,-60.36022669087136,-0.24331063217222576,379,323.765448866194,1303.9934002406324,0.3868,0.41675284384694933,0.5769230769230769,0.093,38.0,31.0,20.0,0.698,0.209,0.0,2.181,99.85806451612903,97.0,78.0,115.0,138.0,-1.6904551612903227,MR_FX,drop_renorm_to_total,0.4436,-0.3506,95.79260595130748,4.065458564821554,1.1119742519624483,-0.08105642771353594
equal_clusters,without_TF_EQ_drop_no_renorm,"{""MR_EQ"": 3.333333333333333, ""MR_FX"": 3.333333333333333}",0.0,3.333333333333333,3.333333333333333,6.666666666666666,0.75,-0.04,684284.3688651109,0.20550728137877017,0.9153068197869837,0.6737849762561956,-30.50042500511757,-0.14293697921441229,52,76.24710233170319,687.2542991979888,0.6918,0.8204683434518647,0.9478505990133897,0.538,125.0,64.0,15.0,0.2826,0.1794,0.0,1.249,248.6817843866171,230.0,162.0,310.0,406.0999999999999,-0.3027944609665427,TF_EQ,drop_no_renorm,0.4436,0.09440000000000004,95.79260595130748,152.88917843530962,1.1119742519624483,-0.19666743217546456
equal_clusters,without_TF_EQ_drop_renorm_to_total,"{""MR_EQ"": 5.0, ""MR_FX"": 5.0}",0.0,5.0,5.0,10.0,0.75,-0.04,2296613.5171535956,0.3144204820601999,0.9251260031234391,0.6951218705648001,-45.23242547450379,-0.24012728419029414,135,115.24209526147673,1088.753126460397,0.6124,0.7279555845852385,0.8667563930013459,0.3864,82.0,42.0,15.0,0.4488,0.1648,0.0,1.5632,174.435817805383,160.5,115.0,221.0,287.0,-0.7413215445134574,TF_EQ,drop_renorm_to_total,0.4436,-0.05719999999999997,95.79260595130748,78.64321185407553,1.1119742519624483,-0.1868482488390092
tf_eq_core,without_MR_EQ_drop_no_renorm,"{""MR_FX"": 2.8571428571428568, ""TF_EQ"": 4.285714285714286}",4.285714285714286,0.0,2.8571428571428568,7.142857142857142,0.75,-0.04,2198837.31034276,0.3103416815051374,0.8498364867864513,0.6051863073831445,-51.28035411889442,-0.1949020321290391,163,246.29087013308234,763.7806461280886,0.596,0.7241610738255033,0.7604263206672845,0.3282,40.0,14.5,15.0,0.365,0.3068,0.0,1.7398,97.98049969530774,87.0,61.0,123.0,166.0,-0.6427492492382694,MR_EQ,drop_no_renorm,0.3344,-0.006199999999999983,81.00956937799043,16.97093031731731,1.056843025411593,-0.20700653862514173
tf_eq_core,without_MR_EQ_drop_renorm_to_total,"{""MR_FX"": 3.9999999999999996, ""TF_EQ"": 6.0}",6.0,0.0,3.9999999999999996,10.0,0.75,-0.04,6271169.53107624,0.41220855601088946,0.858694526433351,0.6305422194356621,-65.37366465005591,-0.24783116007532613,308,336.45946878163267,1111.4014110993508,0.5384,0.6764487369985142,0.6694124107633168,0.2438,25.0,10.0,15.0,0.541,0.2152,0.0,1.88,66.93683347005742,60.0,43.5,83.0,111.0,-0.9957420836751437,MR_EQ,drop_renorm_to_total,0.3344,-0.09059999999999999,81.00956937799043,-14.072735907933009,1.056843025411593,-0.19814849897824205
tf_eq_core,without_MR_FX_drop_no_renorm,"{""MR_EQ"": 2.8571428571428568, ""TF_EQ"": 4.285714285714286}",4.285714285714286,2.8571428571428568,0.0,7.142857142857142,0.75,-0.04,7588913.745723644,0.4315809886557975,0.9793278051480703,0.8027936019529281,-53.75989390123507,-0.19001652175565525,227,259.55519939518547,853.3602337339804,0.529,0.5814744801512287,0.7126137841352406,0.2192,46.0,37.0,22.0,0.4928,0.288,0.0,2.2446,122.57390510948905,115.0,93.0,144.0,180.5,-1.1640807627737226,MR_FX,drop_no_renorm,0.3344,-0.11519999999999997,81.00956937799043,41.564335731498616,1.056843025411593,-0.07751522026352275
tf_eq_core,without_MR_FX_drop_renorm_to_total,"{""MR_EQ"": 3.9999999999999996, ""TF_EQ"": 6.0}",6.0,3.9999999999999996,0.0,10.0,0.75,-0.04,33325729.832560506,0.5911840421997729,0.9956829306922398,0.8606425415145569,-68.69100859915763,-0.24478730218088313,414,355.59451487679814,1314.75552887999,0.3568,0.367152466367713,0.5312977099236641,0.0696,38.0,31.0,21.0,0.7274,0.203,0.0,2.193,100.33908045977012,96.0,79.0,116.0,133.0,-1.7913777011494254,MR_FX,drop_renorm_to_total,0.3344,-0.2648,81.00956937799043,19.329511081779685,1.056843025411593,-0.06116009471935324
